instnm,Control of institution,Undergraduate offering,Carnegie Classification 2010: Undergraduate Instructional Program,Carnegie Classification 2010: Basic,Carnegie Classification 2010: Undergraduate Profile,Carnegie Classification 2010: Enrollment Profile,Carnegie Classification 2010: Size and Setting,Longitude location of institution,Latitude location of institution,Average net price (income 75-001-110-000)-students receiving Title IV Federal financial aid-2010-11,Average net price (income over 110-000)-students receiving Title IV Federal financial aid- 2010-11,percent graduates Computer and Information Sciences and Support Services,To Visit
Embry-Riddle Aeronautical University-Prescott,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Baccalaureate Colleges--Diverse Fields,Full-time four-year- selective- lower transfer-in,Very high undergraduate,Small four-year- primarily residential,-112.452285,34.615678000000003,34409.0,33582.0,0.01,
Frank Lloyd Wright School of Architecture,Private not-for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Schools of art- music- and design,Not applicable- special focus institution,Majority graduate/professional,Not applicable- special focus institution,-111.84647700000001,33.607149999999997,,,,
Glendale Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,-112.18833400000001,33.567483000000003,,,,
Grand Canyon University,Private for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (larger programs),Higher part-time four-year,Majority undergraduate,Large four-year- primarily nonresidential,-112.12991699999999,33.512172,18901.0,19386.0,,
Anthem College-Phoenix,Private for-profit,Undergraduate degree or certificate offering,Associates Dominant,Associate's--Private For-profit 4-year Primarily Associate's,Full-time four-year- inclusive,Exclusively undergraduate four-year,Very small four-year- primarily nonresidential,-112.05018600000001,33.494315999999998,21011.0,22496.0,,
International Academy of Hair Design,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.862672,33.392961,,,,
Lamson College,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Very small two-year,-111.95295400000001,33.348036,,,,
Kaplan College-Phoenix,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-112.118921,33.608201999999999,21750.0,21750.0,,
Maricopa Beauty College LLC,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-112.35504499999999,33.435566999999999,14123.0,14123.0,,
Maricopa Community College System Office,Public,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.97578600000001,33.412915000000005,,,,
GateWay Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-111.996527,33.4495,,,,
Mesa Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,-111.871494,33.391255999999998,,,,
ITT Technical Institute-Tucson,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other technology-related schools,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-110.997501,32.297260999999999,,,0.23999999999999999,
ITT Technical Institute-Tempe,Private for-profit,Undergraduate degree or certificate offering,Not applicable- special focus institution,Other technology-related schools,Not applicable- special focus institution,Exclusively undergraduate four-year,Not applicable- special focus institution,-111.96916899999999,33.380355000000002,26952.0,26952.0,0.28999999999999998,
Mohave Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Suburban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-114.030244,35.270736999999997,,,,
Universal Technical Institute-Motorcycle Mechanics Institute Division,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-112.12133600000001,33.684428000000004,25904.0,26403.0,,
Dine College,Public,Undergraduate degree or certificate offering,Associates,Tribal Colleges,Mixed part/full-time two-year,Exclusively undergraduate two-year,Small two-year,-109.294679,36.327587999999999,,,,
Northern Arizona University,Public,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Research Universities (high research activity),Full-time four-year- selective- higher transfer-in,High undergraduate,Large four-year- primarily residential,-111.657653,35.180095000000001,,,0.0,
Northland Pioneer College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Rural-serving Large,Higher part-time two-year,Exclusively undergraduate two-year,Medium two-year,-110.13160000000001,34.922221,,,,
Ottawa University-Phoenix,Private not-for-profit,Undergraduate degree or certificate offering,Professions plus arts & sciences- some graduate coexistence,Master's Colleges and Universities (medium programs),Higher part-time four-year,Majority graduate/professional,Very small four-year- primarily nonresidential,-112.11344699999999,33.577907000000003,,,0.01,
Phoenix College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Large two-year,-112.08829299999999,33.481361,,,,
Cortiva Institute-Scottsdale,Private for-profit,Undergraduate degree or certificate offering,Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),Not applicable- not in Carnegie universe (not accredited or nondegree-granting),-111.908433,33.466553999999995,17426.0,,,
University of Phoenix-Phoenix-Hohokam Campus,Private for-profit,Undergraduate degree or certificate offering,Professions focus- some graduate coexistence,Master's Colleges and Universities (larger programs),Full-time four-year- inclusive,Majority undergraduate,Medium four-year- primarily nonresidential,-111.980222,33.412343999999997,26630.0,,0.059999999999999998,
Pima Community College,Public,Undergraduate degree or certificate offering,Associates,Associate's--Public Urban-serving Multicampus,Higher part-time two-year,Exclusively undergraduate two-year,Very large two-year,-110.98522199999999,32.226818000000002,,,,
Pima Medical Institute-Tucson,Private for-profit,Undergraduate degree or certificate offering,Associates,Associate's--Private For-profit,Higher full-time two-year,Exclusively undergraduate two-year,Small two-year,-110.921306,32.250447999999999,18522.0,18522.0,,
